id,sentence,type,label
bbc_33,peaceful protest is fundamental to our democracy,pro-palestinian,2
nyt_565,bychelsia rose marciusmaia colemananderin nolan thousands of supporters of israel marched along fifth avenue on sunday during a heavily policed israel day parade that took on a more somber tone this year as the war in gaza enters its eighth month,pro-palestinian,2
bbc_375,last month the us used its veto as one of the five permanent members of the security council to block a widely backed algerian resolution seeking palestines admittance as a state calling it premature,pro-israeli,1
bbc_244,it was a very violent day with hundreds of settlers said ziv stahl the groups director,anti-palestinian,4
jp_77,israel has been conducting airstrikes against hamas for the past two weeks,anti-israeli,3
jp_58,recent palestinian polls show that abbasrsquos popularity has plunged with 80 saying he should resign,neutral,0
jp_585,israel needs a peace authority to pursue and maintain relations with its arab neighbors and the palestinians former israeli negotiator gilead sher told the knesset foreign affairs and defense committee on tuesday,pro-israeli,1
bbc_215,however the israeli military said that none of the 170 drones fired by iran and its proxies reached israeli airspace,anti-palestinian,4
jp_151,nbspunder my leadership the communications ministry will continue to promote a free and competitive market in terms of quality and price protecting those vulnerable to exploitation,pro-israeli,1
jp_445,but kohavi said the cost of the iron dome is worth it because it saves significantly more amount of money in damages should the rockets fall in those areas,anti-palestinian,4
bbc_494,fifa to make legal assessment after palestine federation calls for israel suspension  bbc sport palestinians who have returned to jabalia refugee camp in northern gaza in recent days have expressed shock at the level of destruction following a threeweek israeli military operation there against hamas and other palestinian armed groups,anti-israeli,3
jp_196,dan yakir a leading human rights lawyer and chief legal counsel of the association for civil rights in israel will be recognized for his dedication to civil liberties and his role in numerous landmark rulings,pro-palestinian,2
jp_60,hebron jewish community spokesman noam arnon said that jews and muslims had been neighbors in hebron for centuries and were neighbors as well today,neutral,0
jp_187,nbspiran is the force behind hamas they would not have acted without iranian supportrdquo he highlighted,anti-israeli,3
aj_391,video shows kamala harris heckled over gaza during jimmy kimmel talk show activists in the us disrupted vice president kamala harriss interview on jimmy kimmel live over her stance on israels war on gaza,pro-palestinian,2
bbc_177,hamas says the number of dead hostages is higher  the result of idf air strikes,anti-israeli,3
bbc_391,propalestinian march woman charged in relation to placard students have occupied a building at the london school of economics lse to protest against what they say are the universitys ties with israel,pro-palestinian,2
jp_212,ldquodecades of neglect ignorance and fear of confronting the issues in the arab communities along with the assumption that lsquoas long as theyrsquore killing each other itrsquos their problemrsquordquo wrote bar lev,neutral,0
bbc_207,ever since the lethal 1 april strike on the consulate building in damascus from which israel believes iran was directing its covert arms supplies to iranian proxies in lebanon and syria irans security establishment has been debating its response,pro-israeli,1
jp_425,among the topics in the security cabinet briefing was israelrsquos hope to avoid islamic jihad drawing hamas into the fight which is among the reasons that israelrsquos targets for the operation have been very narrow,pro-israeli,1
jp_535,the official palestinian news agency wafa said security officials confirmed two deaths and the health ministry said two other men were wounded,pro-israeli,1
jp_539,surprising purim traditionsnbspnot everyone is aware that there is more than one purim and even more than two or three,neutral,0
jp_205,writing in maariv the sister publication of the jerusalem post journalist lior dayan in paying tribute to his father assi who unfortunately was a drug addict observes that so often when a parent dies his or her children say they regret that there are so many things they never got around to telling them,neutral,0
jp_190,the military police has launched an investigation into the incident but it is unlikely that charges will be brought against the soldiers and officers who participated in the operation ynet reported sunday,anti-palestinian,4
jp_282,abu obeidah said in the interview that the izzadin alqassam brigades ldquoforms the nucleus of the palestinian liberation army,pro-palestinian,2
jp_126,protest convoys are also scheduled for this week the protest organizers said,pro-palestinian,2
nyt_585,blinken said on wednesday that he would continue to press urgently for a ceasefire deal between israel and hamas in the gaza strip despite a counterproposal from hamas that he said included unacceptable demands,neutral,0
jp_110,"rdquo
nbsp
in a way it seemed like the administration was caught off guard when the violence spiraled",pro-israeli,1
bbc_62,the israeli military launched a campaign in gaza after hamas gunmen killed about 1200 people in southern israel on 7 october and took 253 other people hostage,anti-palestinian,4
bbc_538,the hamasrun health ministry says more than 37000 people have been killed in israels offensive since then,anti-israeli,3
nyt_285,a british government maritime agency said the vessel was hit on the stern by a small craft about 66 nautical miles southwest of the houthiheld port of hodeida in yemen,neutral,0
jp_445,operation guardian of the walls was not meant to overthrow hamas but to bring about deterrence by severely hitting the capabilities of the terrorist groups in the gaza strip idf chief of staff lt,pro-israeli,1
jp_115,although gallant said he emphasized israels commitment to a change in the security situation in the border region with hezbollah to hochstein their talks occurred across the backdrop of us chairman of the joint chiefs of staff the military general c,pro-israeli,1
nyt_214,in effect it said that the courts decision has no bearing on israels offensive because the prohibited acts are not occurring,anti-israeli,3
bbc_70,the palestinian solidarity campaign said it very much doubts the flags cause any harm,pro-palestinian,2
bbc_355, at the same time israels war cabinet had decided to continue the rafah operation to exert military pressure on hamas to advance our war aims the release of our hostages destroy hamass military and governing capabilities and ensure that gaza does not pose a threat to israel in the future it added,anti-palestinian,4
jp_468,the time has come to replace this extreme government with a sane government that will lead to the return of security to the citizens of israel to the return of the hostages to the restoration of israels economy and international status,pro-israeli,1
nyt_400,the protesters then fled to an area by murphy hall amassing about 300 people at one point and then some eventually moved into dodd hall,pro-palestinian,2
aj_170,it smells like death says maha thaer a mother of four as she returns to her devastated home in khan younis after israeli troops announced their withdrawal from southern gaza,neutral,0
bbc_264,the us israels closest ally has been pressing israel not to conduct a broad offensive in rafah but to instead take a more targeted approach,anti-israeli,3
bbc_381,the un agency for palestinian refugees unrwa said the bombardment and evacuation orders had created more displacement and fear for thousands of families in northern gaza,anti-israeli,3
nyt_575,skeik who is now sheltering in deir albalah in central gaza said he had grown frustrated by the long and generally fruitless ceasefire talks,pro-israeli,1
jp_571,ldquothe secretarygeneral reaffirms the un commitment to supporting the parties to achieve a just and peaceful solution to the conflict including through the middle east quartet and the establishment of two states based on 1967 lines with jerusalem as the capital of both statesrdquo dujarric said,pro-palestinian,2
jp_193,"nbsp

the past decade ndash analysis and lessons learned
nbsp
today the iron dome missile defense system is highly regarded in professional political military and civilian circles both in israel and abroad and has received numerous prizes and praise for its groundbreaking military innovation and success in saving lives",pro-israeli,1
jp_16,a launch was held in jerusalem on monday night at which lavie engaged in conversation with elana sztokman and yudit sidikman,anti-palestinian,4
bbc_8,8 million palestinians have been displaced since israel launched retaliatory military action which it says is aimed at destroying hamas,anti-palestinian,4
nyt_248, has israel been told to halt its offensive or to do so only if that offensive is about to partly or completely destroy palestinians as a group,anti-israeli,3
aj_512,dutch police bulldoze camp to break up antigaza war student protest dutch riot police have used a bulldozer to break up an antigaza war protest camp at the university of amsterdam after students refused to leave,pro-palestinian,2
jp_167,she had contended that the withdrawal would legitimize israelrsquos right to selfdefense against the palestinians sarsquoar recalled,pro-israeli,1
jp_274,salem also referred to the mounting violence which is causing fear in the arab sector and asked that israel law enforcement authorities apply themselves more to eradicating this violence,anti-israeli,3
bbc_63,israel has repeatedly accused hamas fighters of using hospitals and medical centres as hiding places for weapons and command centres,anti-palestinian,4
bbc_225,that might be harder after israel and its allies stopped almost all the projectiles launched their way,anti-palestinian,4
bbc_207,on friday hezbollah said it had launched dozens of rockets from lebanon towards israel,anti-palestinian,4
bbc_41, the row came as hundreds of propalestinian supporters marched in edinburgh and glasgow calling for an immediate ceasefire in gaza,pro-palestinian,2
bbc_305,however israel says it is planning a ground offensive into rafah with israeli pm benjamin netanyahu insisting it is necessary to defeat hamas and search for hostages,anti-israeli,3
jp_110,theyrsquore presented as very experienced in foreign policy and national security that has yet to be proven,pro-israeli,1
bbc_203,during the visit mr shapps also said the uk was moving from a postwar era to a prewar one,neutral,0
bbc_217,in a statement it said this proved hamas gaza leader yahya sinwar does not want a humanitarian deal and the return of the hostages and was continuing to exploit the tension with iran,pro-palestinian,2
bbc_538,rather they continued to emphasise the rejection of any permanent ceasefire in clear contradiction with the security council resolution and president bidens initiative,pro-israeli,1
jp_576,the security tensions and stalemate in talks with hamas over an agreement for calm and a prisoner swap agreement mediated by egypt could push the organization to take action against israel,pro-israeli,1
bbc_199,in rafah where a million people are sheltering dozens gathered on a street outside the ruins of alfarouk mosque which was destroyed in february,pro-israeli,1
bbc_411,firefighters at the scene eventually brought the fire under control inside the synagogue in the historic centre of the city,anti-palestinian,4
bbc_381,residents who fled said they had seen tanks advancing towards jabalias refugee camp which has come under heavy bombardment since saturday,anti-israeli,3
nyt_188,senators urge biden to stop arming israel citing violation of u,anti-israeli,3
aj_383,dozens arrested in us campuses in another weekend of propalestine protests more than 2000 people have been arrested nationwide as students continue protests calling for a ceasefire in gaza,pro-palestinian,2
jp_241,for the second time in less than a week hotovely was participating in a panel discussion with her counterparts from the united arab emirates and bahrain mansoor abulhoul and shaikh fawaz bin mohammed al khalifa,neutral,0
jp_161,the idf spokesperson said about a third of the palestinian rockets fired had fallen short and caused damage and casualties inside gaza,anti-palestinian,4
jp_262,"nbsp
an israeli flag dance by the damascus gate which for the right is an important symbol of sovereignty over the city is similarly expected to ignite renewed palestinian violence",pro-israeli,1
bbc_501,gaza war spain ireland and norway formally recognise palestinian state hezbollah rockets have sparked days of bushfires in northern israel with swathes of forest reserve destroyed and 11 people hospitalised for smoke inhalation,anti-palestinian,4
bbc_216,in the middle of saturday night air raid alerts went off in israel,anti-israeli,3
jp_226,soldiers from the idfs nahal brigade currently operating on the outskirts of jabalya refugee camp uncovered multiple launchers in mosques and orchards surrounding the city according to an idf press release on thursday,anti-palestinian,4
bbc_349,the us is reluctant to back a military operation that could cause significant civilian casualties and has insisted on seeing a plan to protect displaced palestinians first,pro-israeli,1
jp_23,israel had carried out more than 1000 airstrikes against iranian targets in syria according to january 2019 reports,anti-israeli,3
bbc_507,but we are an ancient people a people of brave fighters,anti-palestinian,4
jp_519,the united states is watching idf actions in gaza ldquovery closelyrdquo miller said as he explained that there were differences between israelrsquos military campaign that resumed on december 1 and the one that ended on november 24,anti-israeli,3
jp_322,the clashes have prompted calls from some lawmakers for a more concerted us effort to stop the violence including israeli airstrikes that have killed dozens of civilians most of them palestinians in the besieged gaza strip,anti-israeli,3
aj_492,jewish student and peace group founder supports gaza antiwar protests university of texas student and jewish peace activist elijah kahlenberg was caught up in police violence against antiwar demonstrators,pro-palestinian,2
bbc_182,organisers said the protest in tel aviv had drawn 100000 people while other counts put attendance at around 45000,pro-palestinian,2
bbc_177,before 7 october hamas was thought to have about 30000 fighters in gaza according to reports quoting idf commanders,anti-palestinian,4
bbc_427,hamas demanded the cancellation of all arrest warrants issued against leaders of the palestinian resistance and denounced what it called mr khans attempts,pro-palestinian,2
nyt_135,christ her name rhymes with wrist plans to retire at the end of june,neutral,0
jp_532,"rdquo
the instructions came in response to accusations by many residents including senior fatah officials and heads of local clans that the pa was not doing anything to stop the recent wave of violent crime in the hebron area",anti-palestinian,4
jp_327,and some still wonder why israelis are cynical of world opinion and not particularly moved by security council actions,pro-israeli,1
jp_226,one of the rocket launchers found at the back of an orchard it is fixed into the ground and surrounded by the fallen fruit from the orchard,anti-palestinian,4
jp_137,ldquothe biggest sin is this government that dares to speak on behalf of idf fightersrdquo said lapid,anti-palestinian,4
bbc_42,at least 576000 people across the gaza strip  one quarter of the population  are facing catastrophic levels of food insecurity and one in six children under the age of two in the north are suffering from acute malnutrition a senior un aid official warned last week,pro-israeli,1
aj_121,shipping industry groups call for action after houthis sink second vessel organisations decry the unacceptable situation of assaults by yemeni group against vessels in the red sea,anti-israeli,3
bbc_409,having decided that palestinians in gaza had plausible rights under the genocide convention it concluded that they were at real risk of irreparable damage  and israel should take steps to prevent genocide from occurring while these critical issues remain in question,pro-palestinian,2
bbc_462,gaza war jabalia residents describe horrifying destruction an egyptian soldier has been killed in an incident involving egyptian and israeli troops in the border area near rafah,anti-israeli,3
bbc_166,despite these inconsistencies israel presented its block warning system at the international court of justice in january as part of its defence against allegations by south africa that it is committing genocide,pro-palestinian,2
bbc_545,prime minister benjamin netanyahu said israel had paid a heartrending price in our just war in defense of our homeland but said his country would continue fighting this war to ensure our existence and our future,pro-israeli,1
jp_94,it is believed that the majority of the alleged israeli airstrikes in syria as part of its ldquowar between the warsrdquo campaign have been targeting components for the project,anti-israeli,3
bbc_350,this morning the dogs took out a body from one of the graves and were eating it rehab abu daqqa says,neutral,0
bbc_117,palestinians on the ground fighting to secure a share have drowned as they try to swim to pallets that have landed in the sea or have been crushed when parachutes fail,pro-israeli,1
nyt_73,palestinian flags fly at protests worldwide,pro-palestinian,2
bbc_481,we hold the activists squarely responsible for the inhibiting effect their action will have on funding for the arts in this country,pro-palestinian,2
bbc_426,foreign policy especially in the region is the preserve of the islamic revolution guard corps irgc who wield growing power,pro-israeli,1
jp_253,on march 24 however the agrsquos office again refused on the same grounds saying that the lack of a defense ministry opinion served as a ldquolegal impediment,pro-israeli,1
nyt_564,please enable javascript in your browser settings,neutral,0
jp_33,the rocket fire came as a hezbollah response to israeli airstrikes on southern lebanon which were conducted in response to earlier rocket fire believed to be from palestinian groups in the country,anti-israeli,3
nyt_326,and though she has not been charged her case has prompted a profound debate inside israel about the repression of free speech and academic freedom since the war began more than eight months ago,pro-palestinian,2
bbc_425,the us national security advisor also spoke with mr netanyahu about his talks in saudi arabia and the potential that may now be available for israel as well as the palestinian people,pro-israeli,1
jp_394,the united nations high commissioner for human rights said on wednesday that war crimes had been committed by both israel and hamas in the conflict that erupted just over a month ago,pro-palestinian,2
nyt_8,hosted bytracy mumford featuringmaria abihabibandaaron boxerman produced byian stewart edited byjessica metzgertracy mumfordandjames shield on todays episode top u,pro-israeli,1
bbc_182,the demonstrations were the latest of a series of huge antigovernment protests demanding that prime minister netanyahu step down amid fury that he has failed to free the remaining hostages,pro-palestinian,2
nyt_88,air force cargo planes airdropped 38000 readytoeat meals in a joint operation with the jordanian air force u,anti-israeli,3
bbc_508,unrwa said 6000 displaced people were sheltering in the school complex at the time,pro-israeli,1
jp_193,"nbsp
the us army facing many threats similar to israel decided to procure two iron dome batteries as an interim solution while deciding what the most appropriate enduring solution would be for its needs",anti-palestinian,4
bbc_73,,neutral,0
bbc_442,this distorted step by these countries is an injustice to the memory of the victims of 710 a blow to efforts to return the 128 hostages and a boost to hamas and irans jihadists which undermines the chance for peace and questions israels right to selfdefence,pro-palestinian,2
bbc_519,he said the group would not agree to a ceasefire deal unless it achieved security for palestinians,pro-israeli,1
nyt_321,israeli strike near rafah hospital kills at least 11 gaza officials say israelhamaswar advertisement dozens of other displaced palestinians who had been sheltering nearby were also injured the officials said,pro-israeli,1
jp_521,despite the relentless syrian air force bombings on the idlib district including even to the present day the opposition maintains control of the area with impressive tenacity,anti-israeli,3
jp_6,idf closed the entrances to kalkilya following the murder and have begun vehicle checks and arrests,neutral,0
bbc_175,he said idf soldiers were certain they were targeting hamas but described the strikes as a tragedy stemming from a terrible chain of errors,anti-israeli,3
jp_368,unlike in 2014 during operation protective edge they were not ready,pro-israeli,1
jp_91,however the second framework was between egypt and israel winning both begin and sadat the nobel peace prize and directly leading to the treaty being signed a year later,neutral,0
bbc_6,the hamasrun police force in gaza is unwilling to escort aid convoys because its members reportedly fear being shot by the israelis,anti-israeli,3
bbc_227,about 99 of the missiles drones and cruise missiles launched during irans retaliatory operation were shot down or intercepted  which us officials point to as a sign of israeli military superiority over iran,anti-palestinian,4
bbc_117, the un high commissioner for human rights had a succinct response to stinging criticism from israel,pro-palestinian,2
jp_332,"nbsp
pflp political bureaursquos kayed alghoul has said that palestinians are ldquoproud of the affiliation of any of their sons with any national faction that resists the occupation including therdquo pflp",anti-israeli,3
aj_295,israels war on gaza list of key events day 172 the un security council has adopted a resolution demanding an immediate ceasefire on gaza,pro-israeli,1
jp_356,is that what you would have done,neutral,0
jp_544,"rdquo
mezher told the palestinian quds network website the israeli ldquocrimes in the negev are a continuation of the frenzied onslaught of settlements and judaization in jerusalem and the west bank in addition to the siege of the gaza strip",anti-israeli,3
jp_156,moien odeh a specialist in palestinian affairs human rights and international law told the media line that netanyahursquos remarks are in fact nothing new,pro-palestinian,2
jp_5,mother vows to fighteinav zangauker spoke at a protest in tel aviv addressing her son matan who is still being held hostage telling him that she will ldquonot let the prime minister torpedo the hostage deal,pro-palestinian,2
bbc_327,declining to say how university leadership should act she added free expression has to be done within the law,neutral,0
bbc_285,the us and un have warned an allout assault on rafah where 1,anti-israeli,3
jp_126,ldquothey could have easily taken her down safely but chose the violent way,anti-palestinian,4
bbc_51,some patients had been detained during the raid according to dr hout the general manager,anti-israeli,3
bbc_431,uk prime minister rishi sunak said the iccs actions were not helpful to reaching a pause in the fighting getting hostages out or humanitarian aid in,pro-palestinian,2
jp_573,"nbsp
the security cabinet mentioned the absurdity of both claims when it issued a statement against the icc ruling on sunday",pro-israeli,1
jp_208,one of them in conversation on kan reshet bet with liat regev told her that he had not been called up and did not know why and he knew of other haredi young men who had voluntarily enlisted spent a year in training and were still sitting at home waiting for a callup,neutral,0
bbc_307,a number of jewish students have said they have felt unsafe at columbia and at other universities although other jewish students have joined the demonstrations,pro-palestinian,2
bbc_493,on monday a us state department spokesman said that although hamass capabilities had steadily degraded in recent months it remained a threat and the us did not believe the group could be eliminated militarily,anti-palestinian,4
jp_82,this enhances its defensive capabilities and promotes the security posture of its clients,pro-israeli,1
aj_84,washington dc  the white house has cancelled a ramadan iftar meal after several muslim americans declined the invitation in protest of president joe bidens support for israels war on gaza according to two people familiar with the matter,pro-palestinian,2
jp_361,both the eu and the us have focused their comments and concerns on the six ngos particularly after the idf raided their offices in the ramallah area on thursday morning and locked their doors,anti-israeli,3
jp_412,comparing the current situation to significant moments in history goldberg told of a christian german who hid jews during the holocaust,neutral,0
jp_234,trump showed his appreciation in november 2018 by conferring the presidential medal of freedom on adelsons wife dr,pro-palestinian,2
bbc_184,our leadership is cowardly and driven by political consideration which is why this deal has not happened yet she wrote on facebook,neutral,0
nyt_578,she said hospital officials then fired her because she made propalestinian remarks in an acceptance speech,anti-palestinian,4
jp_161,explosions shook buildings throughout gaza and rocket sirens sent israelis in many southern towns scurrying for shelter overnight,pro-israeli,1
bbc_264,the resolution to grant full un member status to a state of palestine was vetoed by the us at a meeting of the security council,pro-israeli,1
nyt_321,the news of saturdays strike was outrageous and unspeakable the leader of the world health organization tedros adhanom ghebreyesussaid on social media reiterating calls for a ceasefire and for the protection of health care workers and civilians,pro-israeli,1
bbc_460,israeli military operations have continued in rafah despite a ruling on friday by the international court of justice icj,pro-palestinian,2
jp_391,"rdquo
nbsp
toukan and laiumldihanieh described how the museum is part of an ldquoanticolonial strugglerdquo against israel and is necessary to reclaim the palestinian narrative and history",pro-palestinian,2
bbc_114,hamas said on monday that it had rejected the latest truce proposal and that it was sticking to its original position calling for a permanent ceasefire that would lead to a full withdrawal of israeli troops from gaza,neutral,0
bbc_515,israel gaza operation in rafah doesnt cross us red lines  white house four hostages kidnapped by hamas have been reunited with their families after being rescued in a raid that palestinian officials say killed scores of people,anti-israeli,3
jp_259,against the background of the protests against the netanyahu government which are intensifying as the war continues on sunday evening brig,pro-palestinian,2
bbc_9,shahd felt compelled to aid her friends after witnessing their narrow escapes from death  on one occasion being hit by flying masonry as a nearby building exploded,neutral,0
bbc_335,residents have fled leaving their homes at risk of destruction,anti-israeli,3
bbc_74,children starving to death in northern gaza  who german chancellor olaf scholz has called for more aid to reach gaza on the ground as he criticised israels plans for a fullscale offensive in the southern city of rafah,anti-israeli,3
aj_127,a senior us department of state official and expert on israelipalestinian affairs has resigned this week united states media reported amid the eightmonth war in gaza that has killed more than 37400 palestinians,neutral,0
jp_319,rdquo,neutral,0
jp_20,the islamic jihad said israel must now await punishment after its foolish act to target three of our fighters by drones and detaining their bodies in a statement,anti-palestinian,4
aj_166,the take why israeli military units could be sanctioned by the us us secretary of state antony blinken was alerted in december of alleged human rights abuses by israeli soldiers,pro-palestinian,2
nyt_10,subscribe,neutral,0
bbc_515,the us also provided intelligence support to israel in the raid according to the bbcs partner cbs news which cited two american officials,anti-israeli,3
jp_40,nbsphe described the expectations in the us and much of the western alliance that supports the creation of a palestinian state ldquoon the heels of the worst massacre and mass murder in modern political history on a single day of any democratic country,pro-israeli,1
jp_470,nbspldquoeven though itrsquos a humanitarian issue not a political one many of the sportspeople we approached said they were scared to participate,pro-palestinian,2
bbc_54,mr biden has become more and more vocal in calling for israel to let much more humanitarian aid into the territory with no excuses,pro-palestinian,2
bbc_149,the only way to stop it is to go into lebanon eliminate this threat as soon as possible,anti-palestinian,4
bbc_199,7 million people  half of them children  have also been forced to flee their homes and 1,anti-israeli,3
bbc_93,in return the saudis would get advanced american weapons a security pact with washington and a usbacked civilian nuclear power programme,pro-israeli,1
bbc_205,mr nouri was able to force mr alid out of the room and the 45yearold accused fled the house armed with a second knife,anti-israeli,3
bbc_57,to that end he is hosting a number of investment gatherings this week which will be attended by the first and deputy first ministers,neutral,0
jp_436,comhsziuyru2vmdash   avichayadraee december 1 2023the terrorist organization hamas uses the residents of the gaza strip as a human shield placing headquarters and military infrastructure in residential areas hospitals mosques and schools and turning civilian sites into military targets by using civilians and civilian facilities as human shields said the idf,pro-israeli,1
jp_163,around the gaza strip the morning of the second day of operation shield and arrow began quietly,pro-israeli,1
bbc_216,since most of the projectiles came from relatively far away israel was able to send f35 stealth fighters to intercept them,anti-palestinian,4
jp_422,"nbsp
from the start israel made a decision to apply sovereignty to the city and now it should shore up that sovereignty she said",pro-israeli,1
jp_232,plan still exempts approximately half of haredim from idf servicegantz claimed in saturdays video that the prime minister was acting in order to bring a plan that does not promote fair service in the state harm the idf draft and israeli security and resilience,pro-israeli,1
jp_528,a senior official with the ruling fatah faction headed by pa president mahmoud abbas accused hamas and the pflp of standing behind the camp protests,pro-palestinian,2
jp_89,ldquoi speak gibberish to yourdquo is set to open on may 9 in her studio at 6 hapelech street in tel aviv,neutral,0
bbc_494, she asked,neutral,0
jp_123,stand strong for your freedom,pro-palestinian,2
bbc_33,john rees a stop the war coalition national officer insisted there was absolutely no need for jewish people to be frightened by the demonstrations,pro-palestinian,2
bbc_180, more than 600 lawyers including former supreme court justices this week wrote to the government saying weapon exports to israel must end because the uk risks breaking international law over a plausible risk of genocide in gaza,pro-palestinian,2
bbc_466,despite mounting concerns over the worsening humanitarian situation in gaza israeli prime minister benjamin netanyahu has said he remains committed to total victory in rafah hamas last remaining urban stronghold in the south of the strip,pro-palestinian,2
nyt_248,the current offensive as currently planned and executed is prohibited under any readingwroteadil haque an international law expert at rutgers university,anti-israeli,3
jp_229,what i saw was that the protesters gave him space so he could drive,pro-palestinian,2
jp_335,ldquoit is a besieged economy that does not control its resources or capabilities and it exists in an exceptional situation imposed by the reality of the occupation and its procedures,anti-israeli,3
bbc_323,i felt angry humiliated and terrible that i could not provide any protection for my family,pro-israeli,1
bbc_482,more than 36000 people in gaza have been killed in the israeli offensive the territorys hamasrun health ministry says,anti-israeli,3
jp_129,carol a retired singer and teacher and the mother of an adult daughter who lives far away wakes up every morning waters her plants exercises sees her girlfriends a great group played by rhea perlman mary kay place and june squibb and plays golf but she feels something is missing in her life and after her beloved dog dies she begins dating,neutral,0
bbc_328,the report concludes that a sexual assault caused the fight in the rear compartment of the van and that strikes from team 12 had caused nikas death,anti-israeli,3
jp_492,the issue was probed again by the shin bet israel security agency during the 20152016 knife intifada but this time the overwhelming majority of officials found that the demolitions were having a deterrent effect,pro-israeli,1
bbc_257,tehran has maintained it was retaliation for a presumed israeli air strike on its consulate in syria on 1 april in which 13 people were killed,neutral,0
jp_265,they may have fired from the cemetery behind,anti-palestinian,4
jp_197,rdquoprime minister benjamin netanyahu said ldquowe will continue to act by all means necessary with security operational activities and with legislation to deter the terrorists and maintain israelrsquos security,pro-israeli,1
bbc_11,the israel military launched a largescale air and ground campaign to destroy hamas after its gunmen killed about 1200 people in southern israel on 7 october and took 253 back to gaza as hostages,anti-palestinian,4
bbc_137,they were all former soldiers who were working for ukbased security firm solace global as part of wcks security team,pro-israeli,1
jp_264,diplomatic dead ends 19672022before considering alternatives a brief summary of previous efforts is worthwhile at least to avoid some of the illusions and mistakes,neutral,0
aj_404,,neutral,0
nyt_300, we know that you our incredible audience are all over the world but wed like you to join us,neutral,0
aj_288,5 million palestinians are sheltering and will do so without us backing if necessary,pro-israeli,1
jp_327,mondayrsquos security council resolution is a case in point,pro-israeli,1
bbc_9,gaza is not only under bombardment but people are profiting from their suffering,anti-israeli,3
bbc_322,in one case it appears the candidate was unwittingly tagged into an offensive post that he assures us he did not himself publish they said,anti-israeli,3
bbc_93,they want to pursue the long soughtafter independent state for palestinians in the west bank east jerusalem and gaza  albeit demilitarised  alongside a secure israel the socalled twostate solution,pro-israeli,1
jp_212,"rdquo

                    6              arablivesmatter  
mdash yayafink   yayafink september 21 2021

darkenu comprised mostly of jewish activists but with a growing representation of arab participants is joining hands with groups like the abraham initiatives as well as student unions to try to raise this issue to the top of the national interest",pro-palestinian,2
jp_553,national unity leader benny gantz addressed the controversy surrounding the new haredi draft law threatening that if the law passes he and his party members will not be able to continue being part of the government,anti-palestinian,4
nyt_30,in one apartment where the male hostages were imprisoned a firefight broke out between the soldiers and the hamas guards according to the military and video footage it released of the encounter,pro-israeli,1
bbc_22,prof sang had earlier shared a guardian article about government plans to clamp down on propalestine marches and called the plans disturbing while dr patel had retweeted a post describing israels actions in gaza as genocide and apartheid,pro-israeli,1
bbc_414,the latest application is the fourth which south africa whose governing party has a long history of solidarity with the palestinian cause has filed with the icj against israels actions in gaza,pro-palestinian,2
nyt_56,for israel taking rafah and the border would effectively complete the reconquest of gaza and could mean a move to a different phase of lowerintensity raids,anti-israeli,3
bbc_222,iran launched more than 300 drones and missiles towards israel the israeli military said,anti-palestinian,4
nyt_565,thousands marched and with many streets blocked off there were few protesters,pro-palestinian,2
aj_194,melbourne australia  israels continued assault on gaza has highlighted a hidden yet crucial component of the worlds weapons manufacturing industry  suburban australia,anti-israeli,3
jp_182,the violence continued across israel on monday as the police and fire and rescue services struggled to respond to the volume of incidents,pro-palestinian,2
bbc_311,they also urged the israeli government to secure a new hostage release deal,pro-israeli,1
jp_144,"rdquo
nbsp
nbsp
noting that the pa was making an effort to secure vaccines from various sources the ministry said that this does not ldquoexempt israel from its responsibilities towards the palestinian people in providing them with vaccinesrdquo in accordance with international laws and conventions",pro-israeli,1
jp_116,ldquowe condemn them and we will give them a period of time if they donrsquot lift the blockade the resistance will begin god willing and the war against them israel will beginrdquo he added,pro-palestinian,2
bbc_469,he said it told israel in explicit terms to stop its offensive in rafah,anti-israeli,3
jp_165,aljazeeras english website retracted a story on wednesday about an emirates pilot who reportedly resigned to protest normalization between thenbspunited arab emirates and israel in the wake of the abraham accords,pro-palestinian,2
bbc_226,this is the result,neutral,0
nyt_575,subscribe,neutral,0
jp_350,the committee announced that the prisoners would launch a hunger strike starting on september 14,anti-palestinian,4
bbc_529,its not the first time scowl has withdrawn in protest with the band pulling out of south by southwest in texas because of the festivals sponsorship deal with the us army,pro-palestinian,2
bbc_265,speaking at the g7 us secretary of state antony blinken said the us was not involved in any offensive operations,anti-israeli,3
jp_97,the study examined the quality of the haredi school system for boys and found indications that this education system was not as effective as the nonultraorthodox system in preparing students for the workforce,anti-israeli,3
bbc_528,the hamasrun health ministry in gaza says more than 37000 people have been killed in the israeli offensive since then,anti-israeli,3
bbc_256,the us accused the palestinian armed group of being the obstacle to a ceasefire after it rejected the latest ceasefire offer,neutral,0
nyt_400, protesters briefly form encampment and occupy building before police move in advertisement the actions came as the university chancellor testified before congress,pro-palestinian,2
bbc_193,whatever the true motives were  and they are likely to have involved a number of interlocking factors  it is unlikely that israels military engagement in gaza is anywhere close to coming to an end with hamas fighters already having shown their capacity to regroup in areas that had been subjected to the heaviest onslaught from the idf,anti-palestinian,4
jp_385,the killing and kidnapping spree by palestinian infiltrators on a jewish holiday morning shook the sense of security of israelis  not least those who had witnessed the state emerge as a safe haven after the nazi genocide,pro-israeli,1
bbc_298,nasser hospital officials might have kept records about the bodies that were buried before the israeli raid but we do not know that,anti-israeli,3
aj_396,,neutral,0
